top1,예상질문,통화내용
요금문의,이번 달 요금이 너무 많이 나온 것 같은데 확인해주실 수 있을까요?,알겠습니다 삼천리 도시가스 임상아입니다. 네 수고하십니다. 그 그 저거 좀 좀 얼마 나왔나 좀 하려고 그러는데요. 요금이요? 예. 주소가 어떻게 되십니까? 어 수원4동. 네. 1479. 1479요? 예 1479. 네. 32번지. 32번지. 302호. 302호요? 예. 302호 주소 확인되었습니다. 등록된 서방 어떻게 되십니까? 예이 인숙이요. 전화주신 분 배우자님 되십니까? 예예. 네 금액은 현재 10월하고 1월에서 26550원 미납있습니다. 20000. 6550원. 2만 26000원 그거밖에 없어요? 네 현재로서는 지금 그렇게 확인되십니다. 26000. 550원. 26550원만 나오던데요? 네 지금 현재로서는 이렇게 확인되시는데요. 예. 사용기간이 그렇게 돼. 예 알겠습니다. 네 금액하고 계좌번호 문자 발송 해드릴까요? 네? 금액하고 계좌번호 문자 발송 해드리면 되겠습니까? 아 저거 저거 저쪽 쪽지요? 금액하고 계좌번호를 문자 발송 해드리면 되겠습니까? 핸드폰으로 문자. 아 여기 저기가 있어요. 지금 이제 가지고 계세요? 네. 얼마 달에 가지고 계세요? 26550원. 네 1월달 고지서 가지고 계시는거 같습니다 고객님. 1월 20일. 네 맞습니다 그게 지금 최종 고지서입니다 2월달꺼는 아직 고지서 발송 안되었습니다. 네 이거 내면 되죠? 네 맞습니다. 네 고맙습니다. 네 동봉하십니까? 네네네. 감사합니다 상담원 임수희였습니다. 네 고맙습니다. 네.
요금문의,요금 정산 후 미납 요금 인수인계 문제를 해결하기 위한 서류 제출 방법은 무엇인가요?,정성을 다하겠습니다 삼천리 도시가스 핸드입니다. 네 다른게 아니라 요금 정산을 하려고 그러는데요. 네 주소먼저 불러주시겠어요? 인천남구문학동 383번지 바운즈 101호요. 101호요 고객님? 네. 지금 잠시만요. 성함이 어떻게 되십니까 고객님? 나는 집 주인이고요 그 사람들 그냥 몰래 이사나왔어요. 몰래 이사나가셨다고요? 네. 그럼 요금 누가 내셔 겁니까? 요금은 그 요금 나오는데 따라서 그 사람들한테 인계를 해야할지 내가 내야할지 결정을 하려고요. 저희가 금액 안내 해드리면 되는거에요? 이거 번호 가스 이거 안 불러도 되나요? 아니요 불러주셔야되요 금액 안내. 629요. 네? 629요. 629요. 입금을 하실거에요? 아니요 내가 요금이 조금 작으면은 내도 되는데 안 그러면 못 내줘. 그니깐 고객님 저희는요 정산을 해드릴건데. 예예. 고객님께서 무단전 주처를 하실건지 아니면 그분들이 내실건지. 근데 그분들이 내게 해야죠. 정산을 해드릴건데. 예예. 고객님께서 무단전 주처를 하실건지 아니면 그분들이 내실건지. 예 그분들이 내게 해야죠. 정산처리를 그럼 해드려요. 예. 아니면 고객님한테 안내받으시고 나중에 결정하시겠어요? 아니요 그냥 정산처리를 해주세요. 그러면 제가 629까지 금액 안내해드릴게요. 예예. 269830 169830원 나왔어요 고객님. 169320이요? 네. 어 그러면 그 사람들 내게 해주세요. 아니 고객님. 그분들이 지금 저한테 연락을 주신게 아니기 때문에. 예. 예 고객님께서 그분들한테 내게 하려면. 예. 고객님으로 연락이 되신다거나. 예. 안되요. 네? 연락이 안되요. 그럼 무단전주 처리하셔야죠 고객님. 예. 그럼 서류를 보내셔야죠 말씀으로만 하는게 아니고요. 그럼 무슨 서류가 되를려? 계약서하고요. 그분들이 성분쪽 복사하신거 가지고 계시면 예. 보내주시고 전화 다시 주셔야 되세요. 예 그럼 팩스로 보내야되나요? 그렇죠 고객님. 팩스 번호가 몇번인가요? 032. 032. 865에. 865에. 865에 3004. 30003 3004요. 3004번이고요. 예 805호요. 관리자 분에게 나서. 예. 전화를 지금 처럼 꼭 주셔 가지고요. 예. 네네 여기 정산 그 밑에서 무단자류 이거 확인해달라고 하시고. 예. 네네 그 입금 아 저기 뭐야 처리해달라고 말씀하셔야 해서 전화 꼭 주셔야 되세요. 269000원 나왔다는거죠? 그렇죠 예. 네 알았습니다. 다시 주셔서 내용. 네 지금 그러면은 일단 팩스를 보낼게요. 보내보고 나서 확인 전화 주시라고요. 네 알았습니다. 네 상담원 최은지였습니다. 네 수고하세요.
요금문의,이번달에는 미납 요금 외에 추가로 부과된 요금 항목이 있나요?,정성을 다하겠습니다 삼천리 도시가스 정연입니다. 아 예 저기 무슨 미납요금이 나와가지고요. 네하신 주소가 어떻게 되십니까? 여기 주안6동 23-2호 정읍이랑 302호요. 명의자 분 성함은 어떻게 되십니까? 최영숙이요. 본인 되십니까? 네. 네 확인 감사합니다. 주소 말씀하신 때도 지금 1월 분 요금 납부가 되어있지 아 이거 안되어있으셔서 미납요금으로 같이 보내드렸습니다. 아니 1월 달꺼 저기 납부 안했다고요? 우리 은행 자동이체 되어 있으시잖아요? 자동이체 기사에 잠고 부족으로 인해서 두분 인출 되셨어요. 그러시다보니깐 남은 금액에 의해서 미납으로 포기되신겁니다. 아 그럼 지금 잠고 지금 부족이라고요? 네 잠고 부족하셨어요 저희가 출금 도와드렸을때. 아 그래요? 네. 온 1월달에요? 네. 아 네 알았습니다. 네 더 궁금한 사항 없으십니까? 네. 네 감사합니다. 상담원 정연입니다.
요금문의,여러 달치 요금을 한 번에 납부할 수 있는 방법이 있나요?,네 알겠습니다 삼천리 도시가스 김지입니다. 여보세요 아 미납요금이 있는데 38만원 정도 있는데 그것이 몇 달치인가 한번 알 수 있나요? 네 주소가 어떻게 되십니까? 여기가 연수동. 네. 파체리-4번지 302호. 402호-4번지. 302호 윤 제일이요. 302호요? 잠시만요 고객님. 아 김윤아로 되있나? 아예 맞습니다 전화주신 분 관계 어떻게 되십니까? 아 남편이요? 배우자님 되세요. 예. 배우자님 핸드폰 번호가 5857182번 맞으세요? 네. 네 지금 353730원이 2월 3월 4월에서 3개월 분입니다. 아 3개월 분이? 네네. 그럼 이거 2개월 분이 얼마에요? 2월하고 3월 분 먼저 납부하셔야 되고요. 알겠어요. 유지금 금액은 272430원입니다. 27만원이요? 네네. 아 네 알겠습니다 그럼. 네 월별 금액하고 계좌번호 문자 발송 해드릴까요? 아니요 오늘 이거 어차피 20일 정도에 납부할꺼 같은데. 예 알겠습니다. 
요금문의,"요금이 평소보다 과다하게 청구된 것 같은데, 정확한 사용 내역을 어떻게 확인할 수 있나요?",정성을 다하겠습니다 삼천리 도시가스 연정입니다. 네 안녕하세요 아까 상담원 분이랑 통화했는데. 네. 그 검침 서비스 나온다고 했는데 오늘 날짜로 나올 수 있는지 다시 여쭤보려고 하거든요 내일 나오신다고 했는데. 아 죄송하지만 오늘은 저희가 접수가 마감되어서 방문이 어렵고요. 빠른 방문이 내일 날짜입니다 고객님. 아 원래 접수 마감 시간이 언제인데요? 저희가 이틀전에 접수를 하셔야만 당일 방문 되시는데 내일은 취소관이 있어서 방문 드립니다. 아 혹시 연락달 그 뭐지 여쭤볼게요 예. 제가 옆집도 다녀오고 육집도 다녀오고 다 다녀와봤는데. 예. 그 육집에서는 보일러를 26도로 그 뭐입 뭐지 26도로 풀 과정시켰을때. 예. 7만원이 나왔다고 그랬거든요? 예. 26도에 7만원 그리고 여기는 3동이에요 심지어 저희는 1동 5동이고. 예. 그리고 육집도 3동인데 온도로 틀어서 7라운드 말고 그냥 온도로 틀어서 60도 맞춰 놓고. 예. 쭉 틀었을 때 3시 아 3시간에 한번씩 돌리는 예약 설정 해놔갖고 5만원이 나왔다는 이야기를 들었는데. 예. 저는 이사온지 한달도 안됐는데. 예. 그 뭐지? 실내 온도 17도로 해놓고. 예. 그 쭉 켜놨을때 17만원이 나왔는데 16만원돈이 나왔는데 예 이게 왜 차이가 나는거죠? 일단 사용하시는 분마다 따라달라고 이제 집마다 좀 다를 수가 있는데요. 온수사용하신 요금이 제일 많이 나오시고 그다음에 뭐 보일러쪽에 간혹다가 보일러 고장으로 온수가 떨어지는 경우도 있어요 고객. 그래서 온수가 떨어지면 그때 열 소모량이 많기 때문에 요금은 많이 나올 수도 있거든요 고객님. 아 온수 때문에 열천모량이 많이 나와요? 예 온수가 제일 많이 나옵니다. 아 온도는 상관없으세요? 온수만요? 아 예 온수가 제일 많이 나오고 그다음에 난방이신데. 네. 온수가 제일 많이 나오셔서 설명드린 겁니다 고객님. 아 그러면은. 예. 다른 집들도 저랑 비슷하게 저보다 더 많이 사용을 했는데. 예. 저희는 심지어 온수로 사용을 그렇게 많이 한 편이 아니거든요 그냥 하루에 10일 때만? 예. 하루에 30분 정도 근데 저희가 온수 온도가 60도로 설정이 돼 있더라고요. 예. 근데 보일러가 가끔씩 빨간 불이 뜨고 고장이 나와서 그니깐 오류가 뜨는데 그때 다시 시작될 때 소모량이 너무 높게 올라간다 이거 말이죠? 아 일단 사용하셔야만 온수가 나오기 때문에 온수 쓰신 요금은 자동이되어야만 요금이 나오는 거거든요. 네. 예 그래서 정확한 작동법은 그 보일러 회사로 한번 전화를 해보셔야 될 것 같습니다. 고객님. 아 근데 이거 금액이 말이 안나게 나온건데. 예. 이게 어쩔 수 없는건가요 금액이? 그니깐 저희도 한번 방문해서 공급장에 이상이 있는건지 먼저 확인을 해보고 일단 정확한 안내를 드려야할것 같습니다 고객님. 아 알겠습니다 감사합니다. 네 감사합니다. 내일 몇시인지 알수 있을까요 그 연락 주신다고 하는데 안주셔가지고. 아 시간은 대략 2시에서 4시 사이에는 방문 예정입니다. 아 네 알겠습니다. 감사합니다 상담원 윤정이었습니다. 네.
요금문의,요금을 카드로 결제할 때 결제가 된 것으로 나오는데 왜 그런가요?,정성을 다하겠습니다. 삼천리 도시가스 나지연입니다. 네 여보세요? 네. 아 요금 좀 내려고요. 문의하신 주소가 어떻게 되십니까? 아 인천시 남구 문학동. 네. 389-4번지 102호요. 명의자 분 성함은 어떻게 되십니까? 김혜정이요. 네 확인 감사합니다. 금액하고 계좌를 문자로 넣어드리면 되겠습니까? 아니요. 카드 수납이실까요? 예예. 카드는담원을 통해서는 결제가 어렵고요. 납부하실 수 있는 번호가 별도로 있습니다. 아. 혹시 한달분만 납부하십니까? 아니면 두달분 전체 금액 납부하십니까? 지금 얼마에요? 두달 분 총 금액은 30990원입니다. 39만. 90980원. 아 309800. 980원. 9080원. 아 399880. 980원. 980원. 3994 이메일 얼마 나왔어요? 당월부는 229390원입니다. 399980원. 아니 근데요. 네. 내가 내려고 하면 네 뭐 이렇게 결제가 됐다고 나오는데 왜 그러는지 몰라요. 지금 카드 납부하실 수 있는 번호를 제가 발급해서 문자로 넣어드릴 건데요 전체 금액을 다시 맞하실 겁니까? 네네. 네 전화주신 번호로 제가 알림톡 하나를 보내드렸습니다. 안쪽에 보시면 0507로 시작하시는 번호 보이실 건데요. 그 번호로 결제 진행해 보시면 수납 가능하실 겁니다. 그 전화번호 주세요. 네 문자 넣어드렸습니다. 감사합니다. 네 감사합니다. 상담원 윤정이였습니다.
요금문의,현재 요금이 갑자기 많이 나왔는데 상세 내역을 확인할 수 있을까요?,알겠습니다 삼천리 도시가스 임수희입니다. 예 저기 뭐 좀 물어보려고 하는데요. 네 고객님 무엇을 도와드릴까요? 예 주안동 83-7번지고요. 주안동 83-7번지요. 예예. 네. 거기 지금 가스요금이. 네네. 엄청 많이 나오고 있어요. 엄청 많이 나온다고요? 네. 83-7이요? 예예. 주안 1동인가요? 예예 맞아요. 주소 확인 안되시는데 혹시 뭐 고지서 받으신 거 있습니까? 잠시만요. 맞는데 주안 1 동 83-7번지. 신주소로는 밑주 월구 주안중로 16번길 53. 아 여기가 모텔이신가요 고객님? 예. 지금 이거는 저희쪽이 아니시고 지난달에가 1364530원이시고 이번달 2월달에 198116원은 확인됩니다. 예 저희가 이제 이거를 그 난방이나 이런거를 네네. 타이머를 돌려서 다른 건물하고 똑같이 돌리거든요거든요? 그러면 죄송합니다만. 예. 이게 저희 쪽이 아니고 지금 지역 인천사오시에서 관리하시는 센터라서. 네. 그쪽으로 여쭤보셔야 될 것 같습니다. 거기 이 번호가 그럼 어디로 해야 돼요? 032830에. 잠시만요. 네. 032. 830에. 9요? 02요. 아. 830에. 예. 4518입니다. 아 이거는 그 여기 삼천리하고는 관계가 없는 거예요? 저희는 지금 고객센터고요. 예. 고객님은 대용량이라 지역본부에서 관리합니다 아 그래요? 3830에 4518이요 네 맞습니다 네 네 동화상 없으십니까? 예예 감사합니다 상담원 이였습니다. 네.
요금문의,요금 납부 내역을 확인할 수 있을까요?,정성을 다하겠습니다 삼천리 도시가스 상담원 윤정입니다. 예 안녕하세요 수납센터 박수희입니다. 네네. 예 동때문에 그 상가주택에서 5분 바로 확인되셨나요? 아 네네. 예 전화번호 하나 드릴게요. 010. 네. 3030. 아 기다려주시겠습니까 010 3030에. 예 3422. 3422. 예예. 그래서 여기 주소지 포함해서 문자좀 부탁드릴건데요. 제가 네 명의는 꼭 등록하시라고 안내는 했어요. 아 네 알겠습니다. 예. 3030에 3422번. 예예. 주소와 포함해서 네. 네 본인 문자 전송하십니다. 예예 고맙습니다. 네 좋은하루 되십시요 상담원 윤정이였습니다. 
요금문의,요금 청구서는 언제 받아볼 수 있나요?,정성을 다하겠습니다. 삼천리 도시가스 정연입니다. 네 안녕하세요. 네 안녕하세요. 네 여기는 연수에 네. 5 3 다 저기 안 4구륙 다시 5번지. 4구륙에 5. 5번지 201호 올간님 이달 가스 요금이 어떻게 되죠? 전화주신 분은 관객님 어떻게 되십니까? 네 건물주에요. 497에 6번지 201호 맞나요? 4구 496에 5번지.  496에 5번지.  496-5번지.  201호 요금은 고객님께서 납부해주시는건가요?  오늘 방문한다고요.  아 그러세요? 네 지금 당월 고지주신 금액 확인해드리던데요. 잠시만 기다려주시겠습니까?  네네네. 예 그러면 감사합니다. 이댁을 세신 금액은 128810원 확인됩니다. 128810원. 네 맞습니다. 128810원이요? 네. 거기 것도 나왔어요? 몇 호? 저기 202호 여긴 어디입니까? 202호. 네. 확인해드리겠습니다 잠시만 기다려주시겠습니까? 네. 네. 네. 여기도 고객님께서 대답해 주시는 건가요? 네네. 네 확인 도와드릴 텐데요 잠시만 기다려주시겠습니까? 네. 네 일단은 감사합니다 지금 202호는 10160원입니다. 잠시만요 저기요 만얼마요? 10160원입니다. 10160원이요? 네 맞습니다. 예 알겠습니다 감사합니다. 네 감사합니다. 네. 막 나중에 전화드릴게요. 네. 감사합니다. 수고하세요. 네 감사합니다. 네 네네.
요금문의,이번 달 가스 요금이 얼마나 나왔는지 확인할 수 있을까요?,정성을 다하겠습니다. 삼천리 도시가스 정사랍니다. 아 제가 이게 제이름으로 부천하고 인천하고 돼있어가지고 제이름으로 보면 항상 인천으로 가더라고요. 부천에 제가 저기 입력되어있는걸로 글로 봐야하는데요. 아 그러십니까 고객님? 예 그래서 그렇게 아니요 했다가. 네네. 아까 그 납부자 번호 몇번 눌러왔다가 에라나서 그냥 예스를 했는데 제가 이름이 두근제로 되어있다보니깐 자동으로 주방으로 가더라고요. 아 아니요 이번하신다음에 고객님. 그 상담원 연결 0번 누르신 다음에 관할 센터 번호를 누르셔야 되시는데요. 혹시 무슨 동이실까요? 삼정동이요 삼정동. 삼정동 주소 말씀해주시 네. 이팔에 다시 1번지요. 네. 몇 호십니까? 에빙이 501호요. 아 501호시고요. 어떤 부분 때문에 그러실까요? 가스를 원래 여기는 5일날 하는 거더라고요. 네. 근데 제가 좀 11일 정도 요금이 계속 내려고 하는데 그것때문에 전화드렸어요 원래 내야하는 날짜인데요.  아 우선이 고객님 제가 안내를 드리긴 어려우시고요. 제가 관할 센터 측에 말씀을 드려서 지금 전화주신 번호로 연락을 드리라고 하겠습니다 고객님.  아 제가 다른데 다른 전화를 통화해야하는데 이게 제가 기다렸을때.  10분 내로 연락을 드릴 수 있을것 같습니다만 지금 처리하고 계신 업무가 있으셔서. 아 그래요 10분 안에 전화주시는건 괜찮아요. 알겠습니다 다른 궁금한 사항 있으십니까? 아 요금 상담원 때문에 그런건 아니예요 전화 좀 바로요. 아 예 혹시 연락 주시라고 하겠습니다. 네 네네네. 네 상담원 윤정입니다. 네네네. 
요금문의,"가스 요금이 작년에 비해 많이 나왔는데, 미납 요금이나 요금 내역을 자세히 확인할 수 있을까요?",정성을 다하겠습니다. 삼천리 도시가스 정연입니다. 여보세요? 네. 아니 저희가 가스 요금이 너무 많이 나오는 거 같아서요. 문의하신 주소가 어떻게 되십니까? 인주대로 366에 23. 네. 2동 102호. 명의자 분 성함은 어떻게 되십니까? 김공협. 네 확인 감사합니다. 네. 사용자 분이 없으신데 좀 바닥에 좀 나오시는 거 같으신 거세요? 작년에 비해서 작년이랑 제가 똑같이 보일러를 틀어서 거의 두개 정도가 나왔거든요. 이번월 겨울에. 올겨울이 더 추웠기 때문에 다른 세대인데도 좀 증가되시는 부분은 맞습니다만. 네. 지금 말씀하신 대로 좀 과다게 좀 많이 증가되신 부분도 확인이 되세요. 예. 저희가 방문 드려서 한번 점검해드릴 건데. 아. 혹시 실주로 오전 물이 떨어지거나 하시는 부분은 없으세요? 보일러 보일러 통에서요? 네 아니 없어요. 그런건 없으세요? 네 네. 네 일단은 전화드리고 방문 드릴테는데 혹시 언제가 괜찮으실까요? 고객님? 네 오전도 괜찮아요 오전에 괜찮고. 네 오전이시면 11시에서 12시 가능하신데 괜찮을까요? 11시 12시요? 네. 그전에는 안되고요? 네 지금 앙증리하고 막음되셔서 지금 가능한 시간이세요. 일단 그걸로 좀 해주세요. 네 전화드리고 방문 드려서 혹시라도 누설이 있으신지 확인해드릴수 있도록 전화해드리겠습니다. 만약에 언니 누설이 없는데도 정면이랑 이게 검침수가 비슷한데. 네. 이렇게 많이 넣으면 이유가 뭘까요? 사용량이 증가되신거세요. 언니가 딱 보셔도 사용량이 많이 증가된건 아니잖아요. 일단은 세대가 뭐 변동성이 없다면. 네. 지금 말씀하신 대로 사용하시는 부분이 작년 대비해서 비슷하셔야 되는 부분은 맞으세요. 예. 근데 지금 다른 세대의 경우에도 지금 작년 대비해서 올해 겨울에 한 0.5배 정도 더 사용량은 발송되시는 부분은 확인되어 있으시거든요. 음. 고객님 말씀하신 대로 네 지금 그 이상보다도 더 사용량이 발송되시는 부분이 보기 때문에. 네. 저희가 가스 점검을 해드리는 거고요. 네. 지금 점검에 이상이 없다면 온수물이 어디서 쓰시는 수도 있으세요. 음. 그러시기 때문에 그 이제 수준이나 이런 부분에 대해서 저희가 확인해 드리기가 어렵고. 예. 저희는 가스쪽만 혹시나 누절 있으신지 확인해 드리는 거세요. 아 예 알겠습니다. 네 더 궁금한 사항 있으십니까? 네 없어요. 네 감사합니다. 감사합니다. 네. 네.
요금문의,"미납 요금이 없는 상황에서 이중 결제가 된 것 같은데, 결제 내역을 다시 확인해 주실 수 있나요?",정성을 다하겠습니다 삼천리 도시가스 현정입니다. 네네 그 저 카드 결제를 했는데 미납이 돼갖고. 네. 그 공급 중지된다고 해가지고 내가 지금 카드 팔칠십팔만 원 팔음파 얼마 얼마야. 어 789767원인데. 네. 그 결제를 하나 했는데 40만짜리 결제 했는데. 네네. 그 그 카드 결제 하는데 해서 전화가 왔고 두번 결제를 해달라고 했지대 했는데 지금 하나가 결제가 안떨려졌는지 떨어져있는지 지금 롯데 카드를 하나 했는데 롯데 카드가 지금 됐는지 성함이 됐는지 한번 좀 확인 되나요? 일단 주소를 좀 먼저 불러주시겠어요? 어 이날로 412번길 25 아 그렇죠 그니깐 87에 17 청학길. 성함이 어떻게 되십니까? 주원 7동 주원 7동. 성함이 어떻게 되세요? 저는 장복희. 지금. 329970원하고요 244640원하고 두꺼 다 결제됐습니다 고객님. 아 결제가 그러면 총 얼마 됐다는에요 잠시만요 내가 40만짜리 하나 했거든요. 40만원짜리 하셨다고? 이거 두개가 다 결제가 되셔서. 아 지금 오늘 결제된거에요? 네네. 그런데. 14. 오늘 결제가 됐는데 아닌데. 54610원 되셨네요. 어? 뭔 소리야? 아니 지금 40만원짜리 점액 카드 접수 카드 결제 있거든요. 결제 다 들어갔어요 고객님 이상없이요. 아 이제 완료가 됐어요 이거 뭐. 네 미납금 없습니다 고객님. 아 미납금이 없다고? 예. 그러면 내가 40만하고 389000원짜리 롯데 카드는 인증이 됐거나 깨드는 왜 그날 또 끊어져 버리게 되나 안되나요 선생님 제가. 예. 그러면 내가 40만하고 389까지 롯데 카드로 인증이 됐거나 깨드는 왜 그날 또 끊어져 버리기는 안됐나요 세입자가. 예예. 삼성은 결제됐다고 여기 뭐 이게 쓰거든요. 예예. 근데 롯데 카드로 했는데 아 결제가 안되는거에요. 아 그러셨어요? 어 문자가 안날라왔어. 네. 그래서 그럼 됐으면은. 총금액은 389767원. 아. 아 맞어 맞어. 네. 어 오케이 할게요 딱 했네 확인을 해봐야 되는데 또 끊어져 버리는 거 같고 어머 이거 뭐 됐난 거예요 그냥 또 바로 그냥 카톡이 뜨거든요. 네네. 어 그래요. 알겠습니다. 네 다른 문의사항 없으십니까? 네. 감사합니다 상담원 윤정이였습니다. 예.
요금문의,요금 납부 확인이 가능한가요?,정성을 다하겠습니다 삼천리 도시가스 상담원 예정입니다 무엇을 도와드릴까요? 예 요금 내일 도시가스 요금을 다 결제쯤 할때쯤에 그냥 전화가 꺼졌거든요 혹시 요금 결제 됐는지 확인좀 할게요. 아예 고객님 주소가 어떻게 되실까요? 태평로 60번길 24입니다. 말않고. 혹시 최상동이세요 고객님? 네네네. 아 네 감사합니다. 오늘날짜로 전화 카드 결제 완납되십니다 고객님. 아 네 알겠습니다. 네 감사합니다. 어떻게 하시나요 고객님? 네 감사합니다 4만 얼마죠? 네 맞습니다 고객님. 네 고맙습니다. 네 저는 상담원 예정입니다 좋은하루. 네 네.
요금문의,이번 달 요금 청구서에 기재된 내역을 자세히 알고 싶어요.,정성을 다하겠습니다. 삼천리 도시가스 정연입니다. 네 저 요금 요금 납부좀 하려구요. 문의하신 주소가 어떻게 되십니까? 어 미칠구 주원중로 14 드림치 903호요. 명의자 분 성함은 어떻게 되십니까? 박성동이요. 네 확인 감사합니다. 요금은 얼마 수납하실 예정이십니까? 5999원이요. 카드 맞으십니까? 네. 네 문자 납부 되셨습니다. 감사합니다. 네 감사합니다. 네.
